Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Croatia,HRV,2024,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,35.7122323163748
Croatia,HRV,2023,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,37.2061321253237
Croatia,HRV,2022,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,36.8734509418228
Croatia,HRV,2021,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,32.154137074326
Croatia,HRV,2020,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,24.8929810692056
Croatia,HRV,2019,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,37.184047237102
Croatia,HRV,2018,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,35.2694205849612
Croatia,HRV,2017,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,34.6815608157301
Croatia,HRV,2016,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,32.2715357778385
Croatia,HRV,2015,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,30.0434304355221
Croatia,HRV,2014,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,27.3592455660167
Croatia,HRV,2013,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,26.1939670542726
Croatia,HRV,2012,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,28.2735385970478
Croatia,HRV,2011,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,26.171303266884
Croatia,HRV,2010,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,25.3207729456003
Croatia,HRV,2009,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,25.5065368511677
Croatia,HRV,2008,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,28.5356824910064
Croatia,HRV,2007,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,27.9888415945505
Croatia,HRV,2006,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,28.4505533423763
Croatia,HRV,2005,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,28.2151293365283
Croatia,HRV,2004,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,29.7822380746292
