Country Name,Year,Indicator Name,Value
Croatia,2024,Food imports (% of merchandise imports),14.321451
Croatia,2023,Food imports (% of merchandise imports),13.9255559
Croatia,2022,Food imports (% of merchandise imports),11.44859397
Croatia,2021,Food imports (% of merchandise imports),12.82747876
Croatia,2020,Food imports (% of merchandise imports),13.57973121
Croatia,2019,Food imports (% of merchandise imports),13.27456849
Croatia,2018,Food imports (% of merchandise imports),12.38168224
Croatia,2017,Food imports (% of merchandise imports),12.98225596
Croatia,2016,Food imports (% of merchandise imports),12.90235762
Croatia,2015,Food imports (% of merchandise imports),13.19916308
Croatia,2014,Food imports (% of merchandise imports),12.97106048
Croatia,2013,Food imports (% of merchandise imports),12.30467947
Croatia,2012,Food imports (% of merchandise imports),11.76956986
Croatia,2011,Food imports (% of merchandise imports),10.9437713
Croatia,2010,Food imports (% of merchandise imports),10.37940961
Croatia,2009,Food imports (% of merchandise imports),10.12861101
Croatia,2008,Food imports (% of merchandise imports),8.190360482
Croatia,2007,Food imports (% of merchandise imports),7.958333592
Croatia,2006,Food imports (% of merchandise imports),8.255557241
Croatia,2005,Food imports (% of merchandise imports),8.313900393
Croatia,2004,Food imports (% of merchandise imports),8.36717767
Croatia,2003,Food imports (% of merchandise imports),8.43596209
Croatia,2002,Food imports (% of merchandise imports),8.909017642
Croatia,2001,Food imports (% of merchandise imports),8.823567075
Croatia,2000,Food imports (% of merchandise imports),8.277969128
Croatia,1999,Food imports (% of merchandise imports),8.460247164
Croatia,1998,Food imports (% of merchandise imports),9.687792935
Croatia,1997,Food imports (% of merchandise imports),10.4472929
Croatia,1996,Food imports (% of merchandise imports),11.25331517
Croatia,1995,Food imports (% of merchandise imports),11.7896442
Croatia,1994,Food imports (% of merchandise imports),11.192911
Croatia,1993,Food imports (% of merchandise imports),8.977339689
Croatia,1992,Food imports (% of merchandise imports),12.49990295
Croatia,2024,Fuel imports (% of merchandise imports),15.54336841
Croatia,2023,Fuel imports (% of merchandise imports),16.14051447
Croatia,2022,Fuel imports (% of merchandise imports),25.46509083
Croatia,2021,Fuel imports (% of merchandise imports),13.59175378
Croatia,2020,Fuel imports (% of merchandise imports),8.498069635
Croatia,2019,Fuel imports (% of merchandise imports),12.19212071
Croatia,2018,Fuel imports (% of merchandise imports),13.54416344
Croatia,2017,Fuel imports (% of merchandise imports),13.27476972
Croatia,2016,Fuel imports (% of merchandise imports),12.3108652
Croatia,2015,Fuel imports (% of merchandise imports),15.19573349
Croatia,2014,Fuel imports (% of merchandise imports),18.62832143
Croatia,2013,Fuel imports (% of merchandise imports),21.71824344
Croatia,2012,Fuel imports (% of merchandise imports),23.15674024
Croatia,2011,Fuel imports (% of merchandise imports),21.79594187
Croatia,2010,Fuel imports (% of merchandise imports),18.8433617
Croatia,2009,Fuel imports (% of merchandise imports),16.91728329
Croatia,2008,Fuel imports (% of merchandise imports),17.57137479
Croatia,2007,Fuel imports (% of merchandise imports),15.21140341
Croatia,2006,Fuel imports (% of merchandise imports),15.88651565
Croatia,2005,Fuel imports (% of merchandise imports),15.11861702
Croatia,2004,Fuel imports (% of merchandise imports),11.97695937
Croatia,2003,Fuel imports (% of merchandise imports),10.9419258
Croatia,2002,Fuel imports (% of merchandise imports),12.2174042
Croatia,2001,Fuel imports (% of merchandise imports),12.85231031
Croatia,2000,Fuel imports (% of merchandise imports),14.51221314
Croatia,1999,Fuel imports (% of merchandise imports),11.03932969
Croatia,1998,Fuel imports (% of merchandise imports),7.109415573
Croatia,1997,Fuel imports (% of merchandise imports),9.316661847
Croatia,1996,Fuel imports (% of merchandise imports),11.01044041
Croatia,1995,Fuel imports (% of merchandise imports),11.60002569
Croatia,1994,Fuel imports (% of merchandise imports),11.26876423
Croatia,1993,Fuel imports (% of merchandise imports),9.892010557
Croatia,1992,Fuel imports (% of merchandise imports),9.638815765
